day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
1,0,28.94,10.94,46.41,270,20.71404,28.7695,0,1009.8,10,2/1/2013 0:00
1,1,28.94,10.94,46.41,260,20.71404,29.92028,0,1010.3,10,2/1/2013 1:00
1,2,30.02,10.94,44.41,260,23.0156,32.22184,0,1010.3,10,2/1/2013 2:00
1,3,28.94,12.02,48.69,250,20.71404,NA,0,1009.9,10,2/1/2013 3:00
1,4,28.94,12.92,50.66,240,20.71404,32.22184,0,1010.2,10,2/1/2013 4:00
1,5,30.02,12.02,46.59,250,21.86482,31.07106,0,1010.7,10,2/1/2013 5:00
1,6,30.02,10.94,44.41,260,18.41248,NA,0,1011.2,10,2/1/2013 6:00
1,7,30.02,10.94,44.41,280,13.80936,NA,0,1011.2,10,2/1/2013 7:00
1,8,30.02,8.96,40.65,270,14.96014,NA,0,1011.5,10,2/1/2013 8:00
1,9,30.02,8.06,39.03,290,14.96014,NA,0,1012,10,2/1/2013 9:00
1,10,30.02,6.08,35.68,290,19.56326,26.46794,0,1011.8,10,2/1/2013 10:00
1,11,30.92,5,32.75,330,23.0156,27.61872,0,1011.3,10,2/1/2013 11:00
1,12,30.92,1.94,28.44,310,18.41248,32.22184,0,1011.9,10,2/1/2013 12:00
1,13,30.92,1.04,27.27,320,20.71404,NA,0,1012.4,10,2/1/2013 13:00
1,14,30.92,3.02,29.9,310,25.31716,37.97574,0,1013.5,10,2/1/2013 14:00
1,15,30.02,3.92,32.32,310,23.0156,32.22184,0,1015.3,10,2/1/2013 15:00
1,16,30.02,3.92,32.32,300,21.86482,32.22184,0,1016.6,10,2/1/2013 16:00
1,17,28.04,10.04,46.26,300,24.16638,28.7695,0,1018.5,9,2/1/2013 17:00
1,18,26.96,10.04,48.36,320,20.71404,NA,0,1019.8,10,2/1/2013 18:00
1,19,26.96,10.04,48.36,310,17.2617,NA,0,1021,10,2/1/2013 19:00
1,20,26.96,8.06,44.25,310,21.86482,27.61872,0,1021.9,10,2/1/2013 20:00
1,21,24.98,12.02,57.33,280,12.65858,NA,0,1022.7,10,2/1/2013 21:00
1,22,24.98,10.04,52.5,280,13.80936,23.0156,0,1023.5,10,2/1/2013 22:00
1,23,24.98,8.06,48.03,290,18.41248,24.16638,0,1024.1,10,2/1/2013 23:00
2,0,24.08,6.98,47.49,270,17.2617,21.86482,0,1024.2,10,2/2/2013 0:00
2,1,23,6.08,47.7,280,18.41248,26.46794,0,1025,10,2/2/2013 1:00
2,2,21.92,6.08,49.92,270,13.80936,NA,0,1025.5,10,2/2/2013 2:00
2,3,21.92,6.08,49.92,270,16.11092,21.86482,0,1025.6,10,2/2/2013 3:00
2,4,21.02,5,49.37,280,14.96014,20.71404,0,1025.5,10,2/2/2013 4:00
2,5,19.94,5,51.68,290,11.5078,NA,0,1025.7,10,2/2/2013 5:00
2,6,19.94,5,51.68,290,11.5078,NA,0,1026.1,10,2/2/2013 6:00
2,7,21.02,5,49.37,280,10.35702,NA,0,1026.7,10,2/2/2013 7:00
2,8,21.92,6.08,49.92,260,11.5078,NA,0,1026.6,10,2/2/2013 8:00
2,9,24.08,6.98,47.49,250,8.05546,NA,0,1026.1,10,2/2/2013 9:00
2,10,24.98,8.06,48.03,240,9.20624,NA,0,1025.3,10,2/2/2013 10:00
2,11,26.96,8.96,46.08,240,12.65858,NA,0,1024.4,10,2/2/2013 11:00
2,12,28.04,6.98,40.31,210,13.80936,18.41248,0,1023.1,10,2/2/2013 12:00
2,13,30.92,3.92,31.16,230,17.2617,20.71404,0,1021.8,10,2/2/2013 13:00
2,14,28.94,3.92,33.78,240,14.96014,20.71404,0,1021.1,10,2/2/2013 14:00
2,15,28.94,5,35.5,240,17.2617,NA,0,1020.7,10,2/2/2013 15:00
2,16,28.94,6.08,37.29,240,11.5078,NA,0,1020,10,2/2/2013 16:00
2,17,28.04,6.98,40.31,230,13.80936,NA,0,1019.8,10,2/2/2013 17:00
2,18,28.94,6.98,38.85,230,17.2617,NA,0,1019.7,10,2/2/2013 18:00
2,19,28.04,10.04,46.26,230,14.96014,NA,0,1019.6,10,2/2/2013 19:00
2,20,26.96,14,57.63,250,16.11092,NA,0,1019.6,10,2/2/2013 20:00
2,21,26.06,15.98,65.21,250,11.5078,NA,0,1019.7,5,2/2/2013 21:00
2,22,24.98,19.94,80.87,240,11.5078,NA,0.01,NA,2,2/2/2013 22:00
2,23,24.98,21.92,87.96,280,6.90468,NA,0.01,NA,2,2/2/2013 23:00
3,0,24.98,21.92,87.96,0,0,NA,0,NA,4,2/3/2013 0:00
3,1,24.98,21.2,85.96,0,0,NA,0.01,NA,2,2/3/2013 1:00
3,2,24.98,21.92,87.96,30,3.45234,NA,0.01,1016,2,2/3/2013 2:00
3,3,24.98,21.92,87.96,60,3.45234,NA,0.01,1015.1,2,2/3/2013 3:00
3,4,23,19.94,87.85,30,6.90468,NA,0,1014.3,4,2/3/2013 4:00
3,5,21.92,19.94,91.94,20,4.60312,NA,0,1014.4,7,2/3/2013 5:00
3,6,24.08,21.02,87.91,80,5.7539,NA,0,1014.8,7,2/3/2013 6:00
3,7,24.98,21.02,84.67,40,5.7539,NA,0,1015.1,10,2/3/2013 7:00
3,8,26.06,19.04,74.41,20,6.90468,NA,0,1014.6,10,2/3/2013 8:00
3,9,26.6,17.96,71.04,40,9.20624,NA,0,NA,10,2/3/2013 9:00
3,10,28.04,19.94,71.26,30,4.60312,NA,0,1013.4,10,2/3/2013 10:00
3,11,28.94,19.04,66.09,320,6.90468,NA,0,1012.1,10,2/3/2013 11:00
3,12,30.02,19.94,65.72,320,9.20624,NA,0,1011,10,2/3/2013 12:00
3,13,30.02,19.94,65.72,NA,6.90468,NA,0,1010.1,10,2/3/2013 13:00
3,14,30.92,19.94,63.36,320,6.90468,NA,0,1009.4,10,2/3/2013 14:00
3,15,30.02,17.06,58.08,300,9.20624,NA,0,1009.3,10,2/3/2013 15:00
3,16,30.02,17.06,58.08,300,12.65858,NA,0,1009.3,10,2/3/2013 16:00
3,17,30.02,15.08,53.29,290,10.35702,NA,0,1009.5,10,2/3/2013 17:00
3,18,28.94,12.92,50.66,290,9.20624,NA,0,1009.6,10,2/3/2013 18:00
3,19,28.04,15.08,57.79,280,11.5078,NA,0,1010,10,2/3/2013 19:00
3,20,28.04,15.08,57.79,280,6.90468,NA,0,1010.3,10,2/3/2013 20:00
3,21,28.04,15.98,60.1,280,11.5078,NA,0,1010.3,10,2/3/2013 21:00
3,22,28.04,17.06,62.97,290,6.90468,NA,0,1010.1,10,2/3/2013 22:00
3,23,28.94,19.04,66.09,260,11.5078,NA,0,1010,10,2/3/2013 23:00
4,0,28.94,19.94,68.68,260,17.2617,NA,0,1009.8,10,2/4/2013 0:00
4,1,28.04,17.06,62.97,280,18.41248,25.31716,0,1010.1,10,2/4/2013 1:00
4,2,26.96,12.92,54.95,290,18.41248,27.61872,0,1010.6,10,2/4/2013 2:00
4,3,26.06,10.04,50.2,300,16.11092,27.61872,0,1011.2,10,2/4/2013 3:00
4,4,24.98,8.96,50.02,290,19.56326,32.22184,0,1012.1,10,2/4/2013 4:00
4,5,24.08,8.06,49.87,290,16.11092,23.0156,0,1012.9,10,2/4/2013 5:00
4,6,24.08,6.98,47.49,290,17.2617,27.61872,0,1014,10,2/4/2013 6:00
4,7,24.98,8.06,48.03,280,13.80936,20.71404,0,1014.7,10,2/4/2013 7:00
4,8,26.06,8.06,45.93,270,17.2617,NA,0,1015,10,2/4/2013 8:00
4,9,26.96,6.08,40.45,280,19.56326,29.92028,0,1015.4,10,2/4/2013 9:00
4,10,28.94,6.08,37.29,290,13.80936,NA,0,1015.3,10,2/4/2013 10:00
4,11,30.92,6.08,34.4,280,16.11092,26.46794,0,1014.7,10,2/4/2013 11:00
4,12,32,6.98,34.31,260,18.41248,28.7695,0,1014.4,10,2/4/2013 12:00
4,13,30.92,8.06,37.63,260,21.86482,27.61872,0,1013.8,10,2/4/2013 13:00
4,14,30.92,6.08,34.4,270,14.96014,27.61872,0,1013.5,10,2/4/2013 14:00
4,15,30.02,6.08,35.68,280,18.41248,27.61872,0,1013.9,10,2/4/2013 15:00
4,16,28.94,6.08,37.29,280,19.56326,25.31716,0,1014.3,10,2/4/2013 16:00
4,17,28.94,6.08,37.29,270,21.86482,26.46794,0,1014.9,10,2/4/2013 17:00
4,18,28.94,6.98,38.85,280,13.80936,NA,0,1015.4,10,2/4/2013 18:00
4,19,28.04,8.96,44.07,250,13.80936,NA,0,1015.6,10,2/4/2013 19:00
4,20,26.96,10.04,48.36,260,9.20624,NA,0,1015.6,10,2/4/2013 20:00
4,21,28.94,10.94,46.41,260,8.05546,NA,0,1015.5,10,2/4/2013 21:00
4,22,28.94,12.02,48.69,240,6.90468,NA,0,1015.5,10,2/4/2013 22:00
4,23,28.94,15.98,57.92,220,9.20624,NA,0,1015.5,10,2/4/2013 23:00
5,0,28.94,19.04,66.09,230,9.20624,NA,0,1014.8,10,2/5/2013 0:00
5,1,28.04,23,81.11,220,5.7539,NA,0,1014.7,7,2/5/2013 1:00
5,2,28.94,24.08,81.8,230,3.45234,NA,0,1014.3,8,2/5/2013 2:00
5,3,28.94,24.8,86.18,0,0,NA,0,NA,7,2/5/2013 3:00
5,4,28.94,24.98,84.93,30,3.45234,NA,0.01,1013.4,8,2/5/2013 4:00
5,5,28.94,24.98,84.93,20,3.45234,NA,0,1013.9,8,2/5/2013 5:00
5,6,28.94,24.98,86.18,60,4.60312,NA,0,NA,5,2/5/2013 6:00
5,7,28.94,26.06,88.82,40,6.90468,NA,0,1014.5,6,2/5/2013 7:00
5,8,28.94,24.8,86.18,40,10.35702,NA,0,NA,8,2/5/2013 8:00
5,9,30.02,24.98,81.27,50,8.05546,NA,0,1014.9,7,2/5/2013 9:00
5,10,30.92,26.06,81.95,20,8.05546,NA,0,1015.4,8,2/5/2013 10:00
5,11,30.92,26.06,81.95,40,9.20624,NA,0,1014.7,7,2/5/2013 11:00
5,12,30.92,26.06,81.95,40,6.90468,NA,0,1014.4,7,2/5/2013 12:00
5,13,30.92,26.06,81.95,40,8.05546,NA,0,1013.5,5,2/5/2013 13:00
5,14,30.92,26.06,81.95,50,8.05546,NA,0,1013.1,7,2/5/2013 14:00
5,15,30.92,26.06,81.95,40,3.45234,NA,0,1013.7,7,2/5/2013 15:00
5,16,30.92,26.06,81.95,30,3.45234,NA,0,1013.5,8,2/5/2013 16:00
5,17,30.92,26.6,86.28,50,5.7539,NA,0,NA,8,2/5/2013 17:00
5,18,30.92,26.6,86.28,30,6.90468,NA,0,NA,8,2/5/2013 18:00
5,19,30.92,26.06,81.95,20,4.60312,NA,0,1013.2,8,2/5/2013 19:00
5,20,30.92,26.6,86.28,360,6.90468,NA,0,NA,7,2/5/2013 20:00
5,21,30.92,26.96,86.28,40,5.7539,NA,0,NA,7,2/5/2013 21:00
5,22,30.92,26.96,85.05,360,4.60312,NA,0,1013.6,9,2/5/2013 22:00
5,23,32,28.04,85.12,10,3.45234,NA,0,1013.7,7,2/5/2013 23:00
6,0,32,28.4,86.39,340,3.45234,NA,0,NA,6,2/6/2013 0:00
6,1,30.92,28.94,92.26,350,4.60312,NA,0,1013.7,5,2/6/2013 1:00
6,2,30.92,28.4,92.92,350,5.7539,NA,0,NA,4,2/6/2013 2:00
6,3,30.92,28.94,92.92,0,0,NA,0,NA,5,2/6/2013 3:00
6,4,32,30.2,100,270,5.7539,NA,0,NA,5,2/6/2013 4:00
6,5,30.92,26.96,85.05,280,9.20624,NA,0,1015.7,6,2/6/2013 5:00
6,6,30.92,26.96,86.28,270,5.7539,NA,0,NA,7,2/6/2013 6:00
6,7,30.92,26.96,85.05,260,9.20624,NA,0,1017.8,5,2/6/2013 7:00
6,8,33.98,26.96,75.2,270,8.05546,NA,0,1018.5,7,2/6/2013 8:00
6,9,35.96,24.08,61.67,290,13.80936,NA,0,1019.1,10,2/6/2013 9:00
6,10,37.94,21.92,52.09,300,16.11092,NA,0,1019.7,10,2/6/2013 10:00
6,11,39.02,19.04,44.18,290,16.11092,23.0156,0,1019.3,10,2/6/2013 11:00
6,12,37.94,17.96,44,300,17.2617,23.0156,0,1019.5,10,2/6/2013 12:00
6,13,39.02,17.96,42.18,300,21.86482,29.92028,0,1019.7,10,2/6/2013 13:00
6,14,39.92,15.08,35.95,280,19.56326,24.16638,0,1020.3,10,2/6/2013 14:00
6,15,39.02,15.08,37.23,290,17.2617,NA,0,1021.1,10,2/6/2013 15:00
6,16,37.94,14,37.05,300,23.0156,28.7695,0,1021.9,10,2/6/2013 16:00
6,17,35.96,14,40.05,310,12.65858,NA,0,1023.1,10,2/6/2013 17:00
6,18,35.96,10.94,34.99,310,17.2617,NA,0,1024.3,10,2/6/2013 18:00
6,19,33.98,10.94,37.86,310,16.11092,24.16638,0,1025.5,10,2/6/2013 19:00
6,20,33.08,8.96,35.92,320,16.11092,NA,0,1026.5,10,2/6/2013 20:00
6,21,32,1.94,27.22,350,12.65858,NA,0,1026.4,10,2/6/2013 21:00
6,22,30.02,1.04,28.29,360,4.60312,NA,0,1027.6,10,2/6/2013 22:00
6,23,30.02,-2.02,24.49,340,13.80936,NA,0,1028.4,10,2/6/2013 23:00
7,0,28.04,-2.92,25.45,340,5.7539,NA,0,1028.2,10,2/7/2013 0:00
7,1,26.96,-0.04,30.48,0,0,NA,0,1029,10,2/7/2013 1:00
7,2,26.96,5,38.5,0,0,NA,0,1029.4,10,2/7/2013 2:00
7,3,26.96,8.96,46.08,20,4.60312,NA,0,1030,10,2/7/2013 3:00
7,4,24.98,5,41.8,360,4.60312,NA,0,1030.8,10,2/7/2013 4:00
7,5,24.98,6.08,43.91,30,5.7539,NA,0,1031,10,2/7/2013 5:00
7,6,26.06,6.08,41.98,50,4.60312,NA,0,1031.6,10,2/7/2013 6:00
7,7,26.06,6.98,43.74,30,9.20624,NA,0,1033,10,2/7/2013 7:00
7,8,26.96,6.98,42.14,40,9.20624,NA,0,1033.3,10,2/7/2013 8:00
7,9,28.04,6.98,40.31,30,10.35702,NA,0,1033.1,10,2/7/2013 9:00
7,10,30.02,6.08,35.68,20,10.35702,NA,0,1033.7,10,2/7/2013 10:00
7,11,30.02,6.98,37.17,50,6.90468,NA,0,1032.6,10,2/7/2013 11:00
7,12,30.92,6.08,34.4,50,3.45234,NA,0,1032.4,10,2/7/2013 12:00
7,13,32,5,31.35,NA,4.60312,NA,0,1031.9,10,2/7/2013 13:00
7,14,33.08,3.92,28.57,90,5.7539,NA,0,1031.4,10,2/7/2013 14:00
7,15,32,6.98,34.31,120,10.35702,NA,0,1030.9,10,2/7/2013 15:00
7,16,30.92,8.96,39.19,100,9.20624,NA,0,1030.5,10,2/7/2013 16:00
7,17,30.92,15.08,51.38,70,8.05546,NA,0,1030.3,10,2/7/2013 17:00
7,18,30.02,15.98,55.42,60,8.05546,NA,0,1030.6,10,2/7/2013 18:00
7,19,30.92,17.06,55.99,50,6.90468,NA,0,1030.7,10,2/7/2013 19:00
7,20,30.92,17.96,58.21,50,8.05546,NA,0,1030.1,10,2/7/2013 20:00
7,21,32,19.94,60.66,50,9.20624,NA,0,1029.6,10,2/7/2013 21:00
7,22,32,21.2,63.99,50,9.20624,NA,0,NA,10,2/7/2013 22:00
7,23,33.08,23,66.11,60,10.35702,NA,0,1027.4,10,2/7/2013 23:00
8,0,33.98,24.08,66.72,60,11.5078,NA,0,1026.4,10,2/8/2013 0:00
8,1,35.96,26.96,69.51,90,18.41248,NA,0,1025.6,10,2/8/2013 1:00
8,2,35.96,26.96,69.51,80,14.96014,24.16638,0,1024.6,10,2/8/2013 2:00
8,3,35.06,26.96,72.03,70,16.11092,NA,0,1023.3,10,2/8/2013 3:00
8,4,35.06,26.06,69.4,60,13.80936,NA,0,1022.3,10,2/8/2013 4:00
8,5,33.98,26.06,72.45,40,14.96014,NA,0,1021.6,10,2/8/2013 5:00
8,6,33.8,28.94,84.56,50,17.2617,NA,0.01,NA,2.5,2/8/2013 6:00
8,7,33.8,30.92,91.66,60,14.96014,NA,0.02,NA,2,2/8/2013 7:00
8,8,33.98,32,92.36,60,18.41248,NA,0.02,1018.7,3,2/8/2013 8:00
8,9,35.06,32,93.03,60,20.71404,NA,0.03,NA,6,2/8/2013 9:00
8,10,35.96,33.8,93.08,60,21.86482,NA,0.04,NA,7,2/8/2013 10:00
8,11,35.96,32,85.37,50,23.0156,29.92028,0.04,1013.2,6,2/8/2013 11:00
8,12,35.06,32,88.47,50,23.0156,28.7695,0.08,1010.5,5,2/8/2013 12:00
8,13,35.06,32,88.47,30,28.7695,39.12652,0.07,1008,7,2/8/2013 13:00
8,14,33.98,30.92,88.42,40,28.7695,36.82496,0.05,NA,7,2/8/2013 14:00
8,15,33.98,30.2,86.49,40,26.46794,35.67418,0.06,NA,7,2/8/2013 15:00
8,16,33.8,30.2,88.37,30,26.46794,32.22184,0.05,NA,6,2/8/2013 16:00
8,17,33.8,30.2,88.37,30,25.31716,34.5234,0.07,NA,3,2/8/2013 17:00
8,18,32,28.94,88.32,360,18.41248,29.92028,0.05,1003.2,3,2/8/2013 18:00
8,19,30.92,28.4,92.92,20,24.16638,33.37262,0.03,NA,3,2/8/2013 19:00
8,20,30.2,26.96,88.22,360,23.0156,37.97574,0.01,NA,3,2/8/2013 20:00
8,21,30.92,26.96,85.05,330,19.56326,29.92028,0,1004.1,3,2/8/2013 21:00
8,22,30.2,26.96,88.22,330,18.41248,NA,0.08,NA,0.5,2/8/2013 22:00
8,23,28.4,26.6,92.86,340,19.56326,NA,0.07,NA,0.5,2/8/2013 23:00
9,0,26.6,24.8,92.8,340,21.86482,NA,0.03,NA,0.5,2/9/2013 0:00
9,1,26.96,24.08,88.73,340,17.2617,NA,0.02,1008.2,0.5,2/9/2013 1:00
9,2,26.96,24.98,92.12,320,14.96014,NA,0.07,1008.4,0.5,2/9/2013 2:00
9,3,26.6,24.8,92.8,360,21.86482,28.7695,0.05,NA,0.5,2/9/2013 3:00
9,4,26.96,24.8,92.8,340,21.86482,NA,0.01,NA,3,2/9/2013 4:00
9,5,28.94,24.8,86.18,320,20.71404,NA,0,NA,10,2/9/2013 5:00
9,6,28.94,21.92,74.7,310,26.46794,32.22184,0,1010.8,10,2/9/2013 6:00
9,7,30.02,21.92,71.48,300,18.41248,26.46794,0,1011.9,10,2/9/2013 7:00
9,8,28.94,19.04,66.09,310,21.86482,34.5234,0,1012.8,10,2/9/2013 8:00
9,9,26.96,17.96,68.44,310,25.31716,34.5234,0,1013.9,10,2/9/2013 9:00
9,10,26.06,15.98,65.21,300,28.7695,34.5234,0,1015.3,10,2/9/2013 10:00
9,11,28.04,17.06,62.97,310,21.86482,32.22184,0,1015.8,10,2/9/2013 11:00
9,12,30.02,15.08,53.29,320,28.7695,36.82496,0,1016.1,10,2/9/2013 12:00
9,13,30.92,12.92,46.74,330,26.46794,34.5234,0,1016.9,10,2/9/2013 13:00
9,14,32,12.02,43,320,25.31716,31.07106,0,1017.8,10,2/9/2013 14:00
9,15,30.92,10.04,41.13,310,21.86482,33.37262,0,1018.4,10,2/9/2013 15:00
9,16,30.02,8.96,40.65,320,17.2617,NA,0,1019.8,10,2/9/2013 16:00
9,17,28.94,5,35.5,330,25.31716,31.07106,0,1021.4,10,2/9/2013 17:00
9,18,28.04,5,36.83,320,20.71404,26.46794,0,1022.7,10,2/9/2013 18:00
9,19,26.06,6.08,41.98,320,19.56326,NA,0,1023.5,10,2/9/2013 19:00
9,20,24.98,5,41.8,310,13.80936,NA,0,1025.1,10,2/9/2013 20:00
9,21,24.08,5,43.4,320,13.80936,NA,0,1026.3,10,2/9/2013 21:00
9,22,21.02,5,49.37,320,10.35702,NA,0,1026.7,10,2/9/2013 22:00
9,23,21.92,5,47.52,300,14.96014,NA,0,1027.5,10,2/9/2013 23:00
10,0,21.02,5,49.37,320,11.5078,NA,0,1027.7,10,2/10/2013 0:00
10,1,19.04,5,53.71,320,6.90468,NA,0,1028.3,10,2/10/2013 1:00
10,2,19.04,5,53.71,320,9.20624,NA,0,1028.8,10,2/10/2013 2:00
10,3,19.04,5,53.71,330,11.5078,NA,0,1028.7,10,2/10/2013 3:00
10,4,17.06,5,58.49,330,9.20624,NA,0,1029,10,2/10/2013 4:00
10,5,17.96,5,56.26,310,8.05546,NA,0,1029.9,10,2/10/2013 5:00
10,6,17.06,5,58.49,330,5.7539,NA,0,1030.5,10,2/10/2013 6:00
10,7,19.04,5,53.71,340,9.20624,NA,0,1030.9,10,2/10/2013 7:00
10,8,21.02,6.08,51.86,310,8.05546,NA,0,1032.1,10,2/10/2013 8:00
10,9,24.98,6.98,45.74,330,6.90468,NA,0,1032.5,10,2/10/2013 9:00
10,10,26.96,8.06,44.25,220,3.45234,NA,0,1032.9,10,2/10/2013 10:00
10,11,30.02,6.08,35.68,0,0,NA,0,1032.1,10,2/10/2013 11:00
